asset,sha256,ownership_status,required_evidence
Assets/absorber column.fbx,d04df156328a84505bbc5f6d0c1f7f1a98eecd1991c080ddd860b4fed7a3969c,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/co2 tank.fbx,7075188192c7e92d7158f9191ca0c49dd71f4f2b42ee3c618d07022144eda315,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/compressor_block.fbx,6e8314b8afb9506aecb8594202e4712ee02f09704dde89e95a9f7242be2d4818,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/condenser.fbx,8d044061c6d28656e6abf5d609b9f3d4544c761c52ec513cd0c1d00f2d63787b,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/deabsorber column.fbx,880a48829ff8f932a088e50a1ac7cecef56efd6508804b2033da91c3e35fb548,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/distillation column.fbx,f0c95ccc6cfdd8b49f40f6d59db5ca078c2e6fb7ef6b55899e1edb36d53a5d92,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/electrolyzer box.fbx,98bb5c97c0fa9a401191719b37329baa7d7b2d8e85a30befe398c83f940d9824,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/flash sep skirt.fbx,608bb03a3fe8528b1f1396143dfa870a4fbd50d621cc69dd597a4a0bcfbf1bdd,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/flash separator.fbx,c8a08601efcb11a356483d78f7db6ced8dfb73b68165a2e93cbf2e29ffc9adce,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/h2 tank.fbx,ebed2de184e66aa5366555fc38a43919a0d283f1397259235f1d1ff764cb84ba,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/methanol tank.fbx,2447a8c7c6274966ea4bc427703aa295d7d1642891bf43e2bd597d70696a88bb,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/pipe bend.fbx,1f070d950600e11ce75a2fded83dabd0f0c2ca4b3cf8382dc891796b80e26746,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/Reactor base model 1.fbx,d25df8d39dcf6a06f04bdbdfda6b8ab7568e2714e32e2d00081613ffa3a93bc4,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/Reactor base model.fbx,4253feeb68e759a95c4a8e7d6f384f22703bbb32342720659778dd9126c2725e,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/reactor steel skirt.fbx,e9f4aa923c5e27e66d9c316d075d590e5541862f1e4a0a31ccd226c434331b7a,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/saddle support.fbx,6f4292aa1050c11d681638422415105c7da6f101a7973e58b2e61a905fc75ddc,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/steel skirt.fbx,38f3fc4851892157f6ac097c97c43b4034ac7d09bc8f10f7b7b7395579bf515b,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/t junction.fbx,cd6b41627374939d1643213435f9e6f1dbcbc6c161e013e95779c7a536d1ff27,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
Assets/tank saddle.fbx,68ec2bcec93994787a2ca5358dd473be3176b698c43314f91f6a572b66390d3f,TEAM_CONFIRMATION_REQUIRED,Original author/source and redistribution permission
