section,quantity,symbol,value,unit,basis_or_equation
"Metadata","Export timestamp","","2026-09-23T20:14:14.8101485+02:00","ISO-8601","Local computer time"
"Basis","Reaction","","CO2 + 3 H2 <-> CH3OH + H2O","","One-reaction educational steady-state model"
"Basis","Hydrogen molar mass","M_H2","2.01588","kg/kmol","IUPAC-consistent value used by model"
"Basis","Carbon dioxide molar mass","M_CO2","44.0095","kg/kmol","Value used by model"
"Basis","Methanol molar mass","M_CH3OH","32.04186","kg/kmol","Value used by model"
"Basis","Water molar mass","M_H2O","18.01528","kg/kmol","Value used by model"
"Operating point","Reactor temperature","T","250","degC","User control"
"Operating point","Reactor pressure","P","70","bar","User control"
"Operating point","H2/CO2 molar ratio","R","3","mol/mol","User control"
"Operating point","Gas hourly space velocity","GHSV","8000","1/h","User control"
"Operating point","Single-pass CO2 conversion","X_CO2,sp","23.78074","%","Educational T/P/R/GHSV response correlation"
"Operating point","Gas recycle fraction","f_recycle","65","%","Separator gas split"
"External input","Fresh CO2","m_CO2,fresh","1114.766","kg/h","Captured CO2 entering synthesis boundary"
"External input","Fresh H2","m_H2,fresh","153.1875","kg/h","Electrolytic H2 entering synthesis boundary"
"Reactor inlet","CO2 including recycle","m_CO2,Rin","2209.318","kg/h","Fresh + recycle"
"Reactor inlet","H2 including recycle","m_H2,Rin","303.5972","kg/h","Fresh + recycle"
"Reactor product","Methanol before recovery","m_CH3OH,rxn","382.5206","kg/h","Reaction extent x M_CH3OH"
"Reactor product","Water","m_H2O,rxn","215.0692","kg/h","Reaction extent x M_H2O"
"Separator gas","Unreacted CO2","m_CO2,unreacted","1683.926","kg/h","Before recycle/purge split"
"Separator gas","Unreacted H2","m_H2,unreacted","231.3996","kg/h","Before recycle/purge split"
"Internal recycle","Recycle CO2","m_CO2,recycle","1094.552","kg/h","Internal stream; excluded from external closure"
"Internal recycle","Recycle H2","m_H2,recycle","150.4097","kg/h","Internal stream; excluded from external closure"
"External output","Purge CO2","m_CO2,purge","589.3741","kg/h","Unreacted external outlet"
"External output","Purge H2","m_H2,purge","80.98985","kg/h","Unreacted external outlet"
"External closure","Total external input","m_in","1267.954","kg/h","Fresh CO2 + fresh H2"
"External closure","Total external output","m_out","1267.954","kg/h","Methanol + water + purge CO2 + purge H2"
"External closure","Mass-balance error","m_in-m_out","0","kg/h","Should approach zero within floating-point tolerance"
"External closure","Absolute closure error","epsilon","0","%","abs(error)/input x 100"
"External closure","Solver converged","","TRUE","","Iterations: 33"
"External closure","Limiting reactant","","CO2 (conversion-limited)","","Determined from reactor inlet and conversion constraint"
"Downstream recovery","Refined methanol product","m_CH3OH,refined","252.2883","kg/h","After condenser/separator/distillation recovery factors"
"Downstream recovery","Methanol purity","w_CH3OH","96.09778","%","Educational separation correlation; capped at 99.85%"
"Downstream recovery","Condenser recovery","eta_cond","72.08379","%","Educational cooling response"
"Storage","Stored methanol","m_stored","17.72845","kg","Accumulated simulated inventory"
"Storage","Tank fill","","0.147737","%","Relative to configured storage capacity"
"Assumption","Steady state synthesis loop","","TRUE","","No transient holdup inside reactor/separator/recycle calculation"
"Assumption","Products removed before recycle","","TRUE","","Methanol and water do not return in gas recycle"
"Assumption","Side reactions and inerts","","OMITTED","","No CO/shift chemistry, dissolved gases or inert accumulation"
"Constraint","Model status","","EDUCATIONAL","","Not a validated process simulator or plant design basis"
