elapsed_seconds,frame_count,allocated_bytes,objects,storage_percent,interlock
0.0007019043,22116,117318708,732,1.466437,False
15.00844,24615,117348044,732,5.326889,False
30.01347,27014,117329351,732,9.186524,False
45.01875,29333,117329231,732,13.04613,False
60.02658,31261,117351009,732,16.90643,False
75.03448,33243,117346211,732,20.76671,False
90.0424,35155,117347387,732,24.62716,False
105.0454,37225,117759600,732,28.48619,False
120.0538,39108,117302268,732,32.34668,False
135.0577,40988,117492100,732,36.20599,False
150.0622,42791,117345012,732,40.06553,False
165.0704,44689,117630782,732,43.92586,False
180.0732,46826,117319554,732,47.78504,False
195.084,48757,117368207,732,51.64598,False
210.0888,50643,117508020,732,55.50557,False
225.0928,52485,117508195,732,59.36499,False
240.0959,54520,117328476,732,63.22417,False
255.1024,56630,117352179,732,67.08415,False
270.1049,58557,117354195,732,70.94296,False
285.1124,60487,117488931,732,74.80326,False
300.1193,62365,117354875,732,78.66327,False
315.1239,64167,117360635,732,82.52296,False
330.1308,66049,117801352,732,86.383,False
345.1367,67708,117385244,732,90.24308,False
360.1443,69497,117387715,732,94.10287,False
375.1489,71335,117384587,732,97.96272,False
390.1535,73319,117392683,732,99.05619,True
415.1858,76425,117802792,732,4.577971,False
430.1914,78295,117639062,732,8.437781,False
445.1986,80326,117365244,732,12.29797,False
460.2014,82100,117640574,732,16.15697,False
475.208,83883,117779248,732,20.0169,False
490.2175,85640,117514388,732,23.87761,False
505.2293,87387,117793191,732,27.73897,False
520.2391,89093,117791624,732,31.5999,False
535.2479,90820,117514732,732,35.46049,False
550.2593,92579,117663646,732,39.32161,False
565.2643,94471,117369873,732,43.18124,False
580.2694,96338,117664766,732,47.04058,False
595.2762,98048,117803312,732,50.90088,False
610.2821,99847,117501540,732,54.76079,False
625.2866,101797,117345105,732,58.6202,False
640.2952,103755,117366763,732,62.48066,False
655.307,105504,117365867,732,66.3417,False
670.3191,107359,117789968,732,70.20329,False
685.324,108904,117789616,732,74.06291,False
700.3414,110638,117650198,732,77.92514,False
715.3469,112342,117650318,732,81.78526,False
730.3544,114134,117676486,732,85.64524,False
745.3716,115918,117538083,732,89.50781,False
760.3792,117728,117409325,732,93.36829,False
775.3842,119374,117522211,732,97.22807,False
790.3949,121057,117786976,732,99.05631,True
805.4084,122722,117380221,732,99.05631,True
820.4238,124468,117329348,732,99.05631,True
835.4268,126361,117329348,732,99.05631,True
850.4357,128316,117364946,732,99.05631,True
865.4395,130269,117338932,732,99.05631,True
880.4431,132166,117378940,732,99.05631,True
895.4469,133877,117518948,732,99.05631,True
