package,resolved_version,observed_notice
com.unity.2d.sprite,1.0.0,LICENSE.md: See exact installed notice
com.unity.ai.navigation,2.0.12,LICENSE.md: Unity Companion License (see installed notice)
com.unity.collab-proxy,2.12.4,LICENSE.md: See exact installed notice | Third Party Notices.md: MIT-style notice; see exact text
com.unity.ide.rider,3.0.40,LICENSE.md: MIT-style notice; see exact text
com.unity.ide.visualstudio,2.0.27,LICENSE.md: MIT-style notice; see exact text
com.unity.inputsystem,1.19.0,LICENSE.md: Unity Companion License (see installed notice)
com.unity.multiplayer.center,1.0.1,LICENSE.md: See exact installed notice | Third Party Notices.md: See exact installed notice
com.unity.render-pipelines.universal,17.4.0,LICENSE.md: Unity Companion License (see installed notice) | Third Party Notices.md: See exact installed notice
com.unity.sdk.linux-x86_64,1.1.0,LICENSE.md: Unity Companion License (see installed notice) | Third Party Notices.md: MIT-style notice; see exact text
com.unity.test-framework,1.6.0,LICENSE.md: Unity Companion License (see installed notice)
com.unity.timeline,1.8.12,LICENSE.md: Unity Companion License (see installed notice)
com.unity.toolchain.linux-x86_64-linux,1.1.0,LICENSE.md: Unity Companion License (see installed notice) | Third Party Notices.md: MIT-style notice; see exact text
com.unity.ugui,2.0.0,LICENSE.md: Unity Companion License (see installed notice)
com.unity.visualscripting,1.9.11,LICENSE.md: See exact installed notice | Third Party Notices.md: MIT-style notice; see exact text
com.unity.modules.accessibility,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.adaptiveperformance,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.ai,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.androidjni,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.animation,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.assetbundle,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.audio,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.cloth,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.director,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.imageconversion,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.imgui,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.jsonserialize,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.particlesystem,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.physics,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.physics2d,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.screencapture,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.terrain,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.terrainphysics,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.tilemap,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.ui,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.uielements,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.umbra,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.unityanalytics,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.unitywebrequest,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.unitywebrequestassetbundle,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.unitywebrequestaudio,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.unitywebrequesttexture,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.unitywebrequestwww,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.vectorgraphics,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.vehicles,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.video,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.vr,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.wind,1.0.0,Built-in/editor terms or team verification required
com.unity.modules.xr,1.0.0,Built-in/editor terms or team verification required
