parameter,value,unit,single_pass_percent,methanol_kg_h,recovery_percent
temperature,200,degC,11.23321,142.149277,17.5141716
temperature,210,degC,15.9406881,188.112473,23.1772842
temperature,220,degC,20.468256,226.8255,27.9471035
temperature,230,degC,23.78073,252.288284,31.0843678
temperature,240,degC,25,261.12207,32.1727753
temperature,250,degC,23.7807369,252.288345,31.0843735
temperature,260,degC,20.46827,226.825623,27.9471188
temperature,270,degC,15.9407034,188.11261,23.1773
temperature,280,degC,11.2332239,142.149429,17.51419
temperature,290,degC,7.16262,96.68602,11.9126568
temperature,300,degC,5,69.9738846,8.621463
temperature,310,degC,5,69.9738846,8.621463
temperature,320,degC,5,69.9738846,8.621463
pressure,40,bar,19.5506859,219.365692,27.0279827
pressure,45,bar,20.3734875,226.063583,27.85323
pressure,50,bar,21.1388073,232.1616,28.6045647
pressure,55,bar,21.8558617,237.763153,29.29473
pressure,60,bar,22.5316963,242.946457,29.933363
pressure,65,bar,23.1718464,247.772156,30.5279369
pressure,70,bar,23.7807369,252.288345,31.0843735
pressure,75,bar,24.361969,256.5338,31.6074581
pressure,80,bar,24.9185333,260.540375,32.1011047
pressure,85,bar,25.4529171,264.33432,32.5685577
pressure,90,bar,25.9672432,267.9379,33.01255
pressure,95,bar,26.4633141,271.369843,33.4354019
pressure,100,bar,26.9426937,274.646271,33.83909
ratio,1.5,mol/mol,18.7867813,220.040985,52.4901466
ratio,1.75,mol/mol,19.6191063,227.186218,46.45253
ratio,2,mol/mol,20.4514332,234.171387,41.8956833
ratio,2.25,mol/mol,21.28376,241.001785,38.3268547
ratio,2.5,mol/mol,22.1160851,247.68248,35.4503632
ratio,2.75,mol/mol,22.94841,254.218369,33.0780334
ratio,3,mol/mol,23.7807369,252.288345,31.0843735
ratio,3.25,mol/mol,22.94841,227.1664,30.3215332
ratio,3.5,mol/mol,22.1160851,205.517014,29.5419731
ratio,3.75,mol/mol,21.28376,186.642044,28.7451382
ratio,4,mol/mol,20.4514332,170.017792,27.9304562
ratio,4.25,mol/mol,19.6191063,155.243561,27.097311
ratio,4.5,mol/mol,18.7867813,142.0076,26.2450733
feed,40,percent,23.7807369,100.915337,31.0843735
feed,45,percent,23.7807369,113.529747,31.0843735
feed,50,percent,23.7807369,126.144173,31.0843735
feed,55,percent,23.7807369,138.758591,31.0843735
feed,60,percent,23.7807369,151.373,31.0843735
feed,65,percent,23.7807369,163.9874,31.08437
feed,70,percent,23.7807369,176.601837,31.0843735
feed,75,percent,23.7807369,189.216248,31.08437
feed,80,percent,23.7807369,201.830673,31.0843735
feed,85,percent,23.7807369,214.4451,31.0843735
feed,90,percent,23.7807369,227.0595,31.0843735
feed,95,percent,23.7807369,239.6739,31.0843735
feed,100,percent,23.7807369,252.288345,31.0843735
recycle,0,percent,23.7807369,127.29834,15.684392
recycle,8,percent,23.7807369,135.564438,16.7028561
recycle,16,percent,23.7807369,144.9786,17.8627739
recycle,24,percent,23.7807369,155.797852,19.1958084
recycle,32,percent,23.7807369,168.362152,20.7438526
recycle,40,percent,23.7807369,183.130692,22.56348
recycle,48,percent,23.7807369,200.739319,24.7330341
recycle,56,percent,23.7807369,222.094437,27.3641911
recycle,64,percent,23.7807369,248.534073,30.62181
recycle,72,percent,23.7807369,282.119537,34.75987
recycle,80,percent,23.7807369,326.200348,40.19105
recycle,88,percent,23.7807369,386.6072,47.6337624
recycle,96,percent,23.7807369,474.4714,58.4594841
